logz err
-16519.204259 0.732014
-16519.089538 0.659037
-16517.936120 0.400049
-16518.739191 0.523673
-16518.333378 0.478321
-16518.650643 0.510340
-16518.191168 0.419226
-16518.594689 0.486019
-16519.182723 0.654126
-16519.312453 0.713813
-16518.513418 0.498125
-16518.548451 0.504471
-16519.483270 0.733722
-16518.405150 0.495364
-16518.729772 0.578189
-16519.889300 0.721842
-16518.629045 0.512792
-16518.360193 0.475244
-16518.412439 0.463916
-16518.796926 0.601861
-16519.886309 0.949047
-16519.298291 0.647204
-16518.796279 0.595811
-16518.828175 0.522140
-16518.753563 0.593048
-16519.925127 1.022402
-16518.198120 0.448826
-16518.157327 0.437940
-16518.296966 0.463515
-16518.730545 0.536005
-16519.049175 0.623445
-16518.380787 0.462789
-16518.492504 0.473404
-16519.594069 0.662659
-16519.148363 0.688983
-16519.138119 0.677804
-16518.939070 0.599073
-16518.181085 0.412664
-16518.792266 0.543987
-16518.578345 0.518983
-16518.480980 0.525107
-16518.844252 0.542251
-16518.069966 0.432180
-16518.575833 0.520276
-16519.195459 0.727865
-16518.703651 0.559923
-16517.748711 0.367543
-16518.459129 0.484709
-16518.071452 0.407871
-16518.256469 0.467843
-16518.392545 0.448710
-16518.194691 0.470042
-16519.032516 0.576865
-16518.439890 0.508267
-16517.861132 0.390116
-16518.995852 0.608076
-16518.049934 0.423210
-16519.238432 0.672450
-16519.076674 0.593816
-16519.235447 0.714742
-16519.848982 0.961905
-16518.638164 0.527502
-16518.171876 0.444243
-16518.837416 0.571011
-16519.265864 0.732039
-16519.325672 0.671035
-16519.512014 0.713404
-16519.051032 0.648716
-16517.998739 0.404704
-16519.007694 0.621032
-16518.792840 0.564689
-16518.381848 0.445877
-16518.055634 0.431862
-16518.724882 0.535825
-16518.088796 0.434001
-16519.939639 0.998120
-16519.067896 0.653462
-16518.346188 0.478023
-16518.554148 0.522732
-16518.798049 0.539595
-16518.721455 0.588887
-16518.174480 0.464632
-16518.922213 0.567383
-16519.563145 0.742649
-16518.824236 0.557036
-16517.933403 0.397527
-16518.518606 0.512807
-16518.220316 0.454109
-16518.986147 0.614964
-16518.327234 0.476859
-16518.281129 0.471369
-16518.586134 0.508578
-16518.326809 0.470277
-16518.984349 0.623991
-16518.409686 0.480187
-16519.244994 0.618954
-16518.692534 0.531367
-16519.478313 0.754782
-16518.268328 0.469579
-16519.111637 0.672111
